"operationId","materialId","operationType","failureCategory","repairAttempted","latencyMs","publicImpact"
"analysis:VOC-MIX-IMG-01","VOC-MIX-IMG-01","analysis","INVALID_OUTPUT","true","78578","dependent structured path unavailable"
"assessment:CIV-MIX-PDF-01:r2","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","61780","operation rejected atomically"
"assessment:VOC-EN-PASTE-02:r1","VOC-EN-PASTE-02","assessment_generation","INVALID_OUTPUT","true","64687","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r1","VOC-MIX-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r2","VOC-MIX-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-MIX-IMG-01:missing_key_concept","VOC-MIX-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-MIX-IMG-01:unsupported_claim","VOC-MIX-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
