"operationId","materialId","operationType","failureCategory","repairAttempted","latencyMs","publicImpact"
"analysis:CIV-BN-IMG-01","CIV-BN-IMG-01","analysis","RATE_LIMITED","true","86765","dependent structured path unavailable"
"analysis:SCI-BN-PASTE-01","SCI-BN-PASTE-01","analysis","TIMEOUT","false","90033","dependent structured path unavailable"
"analysis:VOC-EN-PASTE-02","VOC-EN-PASTE-02","analysis","TIMEOUT","false","90004","dependent structured path unavailable"
"assessment:CIV-BN-IMG-01:r1","CIV-BN-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:CIV-BN-IMG-01:r2","CIV-BN-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:CIV-BN-IMG-01:r3","CIV-BN-IMG-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:CIV-BN-PASTE-02:r1","CIV-BN-PASTE-02","assessment_generation","INVALID_OUTPUT","true","147500","operation rejected atomically"
"assessment:CIV-BN-PASTE-02:r2","CIV-BN-PASTE-02","assessment_generation","INVALID_OUTPUT","true","51876","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r1","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","117156","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r2","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","132893","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r1","SCI-BN-PASTE-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r2","SCI-BN-PASTE-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r3","SCI-BN-PASTE-01","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:SCI-EN-PDF-01:r1","SCI-EN-PDF-01","assessment_generation","INVALID_OUTPUT","true","142473","operation rejected atomically"
"assessment:SCI-EN-PDF-01:r2","SCI-EN-PDF-01","assessment_generation","INVALID_OUTPUT","true","161818","operation rejected atomically"
"assessment:SCI-EN-PDF-01:r3","SCI-EN-PDF-01","assessment_generation","INVALID_OUTPUT","true","125541","operation rejected atomically"
"assessment:SCI-MIX-PASTE-02:r1","SCI-MIX-PASTE-02","assessment_generation","INVALID_OUTPUT","true","158199","operation rejected atomically"
"assessment:SCI-MIX-PASTE-02:r2","SCI-MIX-PASTE-02","assessment_generation","INVALID_OUTPUT","true","37062","operation rejected atomically"
"assessment:VOC-EN-PASTE-01:r1","VOC-EN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","62308","operation rejected atomically"
"assessment:VOC-EN-PASTE-01:r2","VOC-EN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","104869","operation rejected atomically"
"assessment:VOC-EN-PASTE-02:r1","VOC-EN-PASTE-02","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:VOC-EN-PASTE-02:r2","VOC-EN-PASTE-02","assessment_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r1","VOC-MIX-IMG-01","assessment_generation","INVALID_OUTPUT","true","98616","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r2","VOC-MIX-IMG-01","assessment_generation","INVALID_OUTPUT","true","16591","operation rejected atomically"
"revision:CIV-BN-IMG-01","CIV-BN-IMG-01","revision_retry_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"revision:SCI-BN-PASTE-01","SCI-BN-PASTE-01","revision_retry_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"revision:SCI-EN-PDF-01","SCI-EN-PDF-01","revision_retry_generation","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-BN-IMG-01:missing_key_concept","CIV-BN-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-BN-IMG-01:unsupported_claim","CIV-BN-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-MIX-PDF-01:correct","CIV-MIX-PDF-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:CIV-MIX-PDF-01:partially_correct","CIV-MIX-PDF-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:SCI-BN-PASTE-01:correct","SCI-BN-PASTE-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:SCI-BN-PASTE-01:partially_correct","SCI-BN-PASTE-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:SCI-EN-PDF-01:empty","SCI-EN-PDF-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:SCI-EN-PDF-01:incorrect","SCI-EN-PDF-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-EN-PASTE-01:empty","VOC-EN-PASTE-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-EN-PASTE-01:incorrect","VOC-EN-PASTE-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-MIX-IMG-01:missing_key_concept","VOC-MIX-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
"written:VOC-MIX-IMG-01:unsupported_claim","VOC-MIX-IMG-01","written_grading","DEPENDENCY_UNAVAILABLE","false","0","operation rejected atomically"
