"operationId","materialId","operationType","failureCategory","repairAttempted","latencyMs","publicImpact"
"analysis:CIV-BN-IMG-01","CIV-BN-IMG-01","analysis","TIMEOUT","false","90019","dependent structured path unavailable"
"analysis:VOC-EN-PASTE-02","VOC-EN-PASTE-02","analysis","UNAVAILABLE","false","624","dependent structured path unavailable"
"assessment:CIV-BN-PASTE-02:r1","CIV-BN-PASTE-02","assessment_generation","INVALID_OUTPUT","true","37078","operation rejected atomically"
"assessment:CIV-BN-PASTE-02:r2","CIV-BN-PASTE-02","assessment_generation","UNAVAILABLE","false","727","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r1","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","39166","operation rejected atomically"
"assessment:CIV-MIX-PDF-01:r2","CIV-MIX-PDF-01","assessment_generation","INVALID_OUTPUT","true","59160","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r1","SCI-BN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","48852","operation rejected atomically"
"assessment:SCI-BN-PASTE-01:r2","SCI-BN-PASTE-01","assessment_generation","INVALID_OUTPUT","true","85307","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r1","VOC-MIX-IMG-01","assessment_generation","INVALID_OUTPUT","true","60005","operation rejected atomically"
"assessment:VOC-MIX-IMG-01:r2","VOC-MIX-IMG-01","assessment_generation","INVALID_OUTPUT","true","122414","operation rejected atomically"
"baseline:VOC-EN-PASTE-02","VOC-EN-PASTE-02","one_prompt_baseline","UNAVAILABLE","false","403","operation rejected atomically"
"revision:SCI-EN-PDF-01","SCI-EN-PDF-01","revision_retry_generation","INVALID_OUTPUT","true","123206","operation rejected atomically"
"revision:SCI-MIX-PASTE-02","SCI-MIX-PASTE-02","revision_retry_generation","INVALID_OUTPUT","true","87148","operation rejected atomically"
"revision:VOC-EN-PASTE-01","VOC-EN-PASTE-01","revision_retry_generation","INVALID_OUTPUT","true","55608","operation rejected atomically"
